atomid: atom_vol, EMid: EM_vol, score
5me2: 58783.29 , emd_3488: 33797.65 , 0.425046641656
5me2: 58783.29 , emd_0339: 145539.31 , 1.47586193287
5me2: 58783.29 , emd_0502: 105830.99 , 0.800358401171

6nt5: 73203.62 , emd_0502: 105830.99 , 0.445707056564
6nt5: 73203.62 , emd_0379: 165307.06 , 1.2581814943
6nt5: 73203.62 , emd_3488: 33797.65 , 0.538306302339
6nt5: 73203.62 , emd_0339: 145539.31 , 0.988143619127

6n9u: 151550.28 , emd_0339: 145539.31 , 0.039663206165
6n9u: 151550.28 , emd_3488: 33797.65 , 0.776987215068
6n9u: 151550.28 , emd_9297: 243972.86 , 0.609847636045
6n9u: 151550.28 , emd_0502: 105830.99 , 0.301677370705
6n9u: 151550.28 , emd_0379: 165307.06 , 0.0907737022987

6n4b: 158088.73 , emd_0379: 165307.06 , 0.0456599910696
6n4b: 158088.73 , emd_0502: 105830.99 , 0.330559553486
6n4b: 158088.73 , emd_6896: 277541.44 , 0.755605475482
6n4b: 158088.73 , emd_0339: 145539.31 , 0.0793821292637
6n4b: 158088.73 , emd_9297: 243972.86 , 0.543265354842

5z62: 251164.83 , emd_9297: 243972.86 , 0.0286344628744
5z62: 251164.83 , emd_0339: 145539.31 , 0.420542637279
5z62: 251164.83 , emd_0128: 398961.19 , 0.588443692535
5z62: 251164.83 , emd_0379: 165307.06 , 0.341838345759
5z62: 251164.83 , emd_6896: 277541.44 , 0.105017131578

6mzb: 280805.59 , emd_6896: 277541.44 , 0.0116242344036
6mzb: 280805.59 , emd_0379: 165307.06 , 0.411311363139
6mzb: 280805.59 , emd_0452: 438960.47 , 0.563218417411
6mzb: 280805.59 , emd_9297: 243972.86 , 0.131168079667
6mzb: 280805.59 , emd_0128: 398961.19 , 0.420773674769

6h25: 426099.31 , emd_0128: 398961.19 , 0.0636896595772
6h25: 426099.31 , emd_9297: 243972.86 , 0.427427235214
6h25: 426099.31 , emd_6830: 446589.72 , 0.0480883435366
6h25: 426099.31 , emd_6896: 277541.44 , 0.348646117263
6h25: 426099.31 , emd_0452: 438960.47 , 0.0301834799967

6nmi: 480221.06 , emd_0452: 438960.47 , 0.0859199927633
6nmi: 480221.06 , emd_6896: 277541.44 , 0.422054834496
6nmi: 480221.06 , emd_7782: 565435.31 , 0.177447965318
6nmi: 480221.06 , emd_0128: 398961.19 , 0.169213465982
6nmi: 480221.06 , emd_6830: 446589.72 , 0.0700330385344

5nv3: 670893.88 , emd_6830: 446589.72 , 0.334336273868
5nv3: 670893.88 , emd_0128: 398961.19 , 0.405328917295
5nv3: 670893.88 , emd_3699: 582318.38 , 0.132026096288
5nv3: 670893.88 , emd_0452: 438960.47 , 0.34570804253
5nv3: 670893.88 , emd_7782: 565435.31 , 0.157191134312

5yi5: 676845.81 , emd_7782: 565435.31 , 0.16460248162
5yi5: 676845.81 , emd_0452: 438960.47 , 0.35146164235
5yi5: 676845.81 , emd_2981: 673668.56 , 0.00469420058905
5yi5: 676845.81 , emd_6830: 446589.72 , 0.340189872787
5yi5: 676845.81 , emd_3699: 582318.38 , 0.139658735569

5a0q: 737249.25 , emd_3699: 582318.38 , 0.210147205982
5a0q: 737249.25 , emd_6830: 446589.72 , 0.394248661494
5a0q: 737249.25 , emd_3957: 689767.62 , 0.0644037684677
5a0q: 737249.25 , emd_7782: 565435.31 , 0.233047290316
5a0q: 737249.25 , emd_2981: 673668.56 , 0.0862404268299

6d00: 743804.19 , emd_2981: 673668.56 , 0.0942931364772
6d00: 743804.19 , emd_7782: 565435.31 , 0.239806231799
6d00: 743804.19 , emd_9400: 1056747.62 , 0.420733620767
6d00: 743804.19 , emd_3699: 582318.38 , 0.217107959556
6d00: 743804.19 , emd_3957: 689767.62 , 0.0726489185279

6eu2: 757233.94 , emd_3957: 689767.62 , 0.0890957423277
6eu2: 757233.94 , emd_3699: 582318.38 , 0.23099276295
6eu2: 757233.94 , emd_7610: 1627195.75 , 1.1488679575
6eu2: 757233.94 , emd_2981: 673668.56 , 0.110356094181
6eu2: 757233.94 , emd_9400: 1056747.62 , 0.395536523363

5bk4: 1283822.88 , emd_9400: 1056747.62 , 0.1768742897
5bk4: 1283822.88 , emd_2981: 673668.56 , 0.475263628266
5bk4: 1283822.88 , emd_3957: 689767.62 , 0.462723689735
5bk4: 1283822.88 , emd_7610: 1627195.75 , 0.267461248237

6ct0: 1386939.6 , emd_7610: 1627195.75 , 0.173227550789
6ct0: 1386939.6 , emd_3957: 689767.62 , 0.502669315953
6ct0: 1386939.6 , emd_9400: 1056747.62 , 0.238072357297

