EMDB ID,Resolution (Angstrom),FittedPDBs,PDBvolnoGMM,Multiplier,,PDBvol50,PDBvol100,PDBvol150,PDBvol200,EMvol50,EMvol100,EMvol150,EMvol200,PDBvol50wmult,PDBvol100wmult,PDBvol150wmult,PDBvol200wmult
emd_5001,4.2,3cau,288850.6144,1,3cau,853697.94,833145,826781.31,822167.69,935303.38,896567.12,872358.44,839782.69,853697.94,833145,826781.31,822167.69
emd_1674,6,3g37,613777.3061,1,3g37,621129.44,645845.88,643856.06,637228.31,560947.12,565363.31,559701.94,548260.81,621129.44,645845.88,643856.06,637228.31
emd_5140,8,3iyf,1002126.955,1,3iyf,1160833.12,1142505.75,1157745.75,1150532.75,897677.31,826859.31,801996.31,778385.56,1160833.12,1142505.75,1157745.75,1150532.75
emd_5245,6.7,3izi,1045954.865,1,3izi,1094271.25,1108471.62,1106152.25,1109393.62,916891.19,879982.38,800630.31,752416.81,1094271.25,1108471.62,1106152.25,1109393.62
emd_5246,6.9,3izj,1064227.804,1,3izj,1144255.12,1130116.5,1131843,1121259.5,936115.69,935232.69,856120.12,795393.81,1144255.12,1130116.5,1131843,1121259.5
emd_5247,4.9,3izk,1005194.374,1,3izk,1114631.75,1129322.38,1123715.25,1103981.62,984243.94,947208.12,906371.19,831441.62,1114631.75,1129322.38,1123715.25,1103981.62
emd_5248,6.2,3izl,1013445.388,1,3izl,1083249.12,1123055.62,1112746,1100357.62,951899.75,906912.38,833217.19,789038.25,1083249.12,1123055.62,1112746,1100357.62
emd_5249,7.2,3izm,1062134.53,1,3izm,1184581.5,1168614.88,1166630.88,1144737.88,880581.56,825253.94,746807.25,694127.38,1184581.5,1168614.88,1166630.88,1144737.88
emd_5250,6.4,3izn,1012606.488,1,3izn,1033875.5,1041124.69,1057379,1059828.5,568757.19,574032.44,578069.62,580184.62,1033875.5,1041124.69,1057379,1059828.5
emd_5258,8,3j02,989249.9583,1,3j02,1167315.25,1143139.25,1148815.62,1149382,1302271.38,1312417.12,1337252.62,1335614.75,1167315.25,1143139.25,1148815.62,1149382
emd_5138,4.8,3j03,1007261.807,1,3j03,1081489.38,1096023.5,1084573.12,1080620.75,917745,857015.44,773071.62,714993.31,1081489.38,1096023.5,1084573.12,1080620.75
emd_1918,9.9,3j0e,160048.6797,1,3j0e,184868.44,179605.11,177628.09,174895.12,139434.72,142153.67,142772.06,143334.25,184868.44,179605.11,177628.09,174895.12
emd_5395,8.3,3j1e,1197888.369,1,3j1e,1442080.62,1417397,1396174,1398686.12,1330295.38,1286489,1259508.88,1250548.5,1442080.62,1417397,1396174,1398686.12
emd_5396,6.2,3j1f,1211498.266,1,3j1f,1508944.25,1478567.62,1446868.38,1444119.25,1267770.75,1245857.75,1230821.38,1218048.25,1508944.25,1478567.62,1446868.38,1444119.25
emd_2697,8.9,3j7i,104743.995,2,3j7i,92543.92,89933.23,85657.55,83247.45,228443.12,223087.5,218215.88,217455.53,185087.84,179866.46,171315.1,166494.9
emd_6204,4.2,3j94,363560.4976,1,3j94,401648.53,392121.5,381969.72,367878.75,324295.94,277870.94,244304.31,222610.2,401648.53,392121.5,381969.72,367878.75
emd_6205,7.6,3j95,353763.7724,1,3j95,388627.19,389455.12,375408.38,360841.06,309244.94,300957.66,292159.41,287683.16,388627.19,389455.12,375408.38,360841.06
emd_6206,7.6,3j96,692408.8872,1,3j96,777696.94,782342.44,778089.62,772926.81,521020.38,508567.5,498185.34,483878.56,777696.94,782342.44,778089.62,772926.81
emd_6207,7.8,3j97,690795.4734,1,3j97,783454.12,784100.88,781222,773327.56,529141.94,507201.25,496084.38,486570.19,783454.12,784100.88,781222,773327.56
emd_6208,8.4,3j98,688212.0291,1,3j98,764647.81,777501.38,781319.19,768612.94,503278.09,492650.66,481316.84,475693.81,764647.81,777501.38,781319.19,768612.94
emd_6209,8.2,3j99,688450.1883,1,3j99,772148.94,781451.31,786739.44,778117.88,523998.75,504887.94,491249.19,479673.94,772148.94,781451.31,786739.44,778117.88
emd_6489,4.6,3jbw,336063.4982,1,3jbw,367631.53,361130.72,353334.22,344711.62,267251.5,235236.38,212276.41,198526.38,367631.53,361130.72,353334.22,344711.62
emd_6487,3.4,3jbx,285354.9491,1,3jbx,282200.47,280726.62,273079.94,271858.22,203632.8,181314.34,167621.34,154331.06,282200.47,280726.62,273079.94,271858.22
