atomid: atom_vol, EMid: EM_vol, score
5me2: 58783.29 , emd_3488: 399884.436375 , 5.80268893379
5me2: 58783.29 , emd_0379: 530239.309483 , 8.02023873593
5me2: 58783.29 , emd_0339: 510645.102933 , 7.68690920384
5me2: 58783.29 , emd_0502: 471285.387039 , 7.0173359987

6nt5: 73203.62 , emd_0502: 471285.387039 , 5.43800657726
6nt5: 73203.62 , emd_9297: 608214.492985 , 7.30853027467
6nt5: 73203.62 , emd_0379: 530239.309483 , 6.24334820441
6nt5: 73203.62 , emd_3488: 399884.436375 , 4.46263198971
6nt5: 73203.62 , emd_0339: 510645.102933 , 5.97568102415

6n9u: 151550.28 , emd_0339: 510645.102933 , 2.36947647298
6n9u: 151550.28 , emd_6896: 641488.370393 , 3.23284186867
6n9u: 151550.28 , emd_3488: 399884.436375 , 1.63862552002
6n9u: 151550.28 , emd_9297: 608214.492985 , 3.01328518156
6n9u: 151550.28 , emd_0502: 471285.387039 , 2.10976256223
6n9u: 151550.28 , emd_0379: 530239.309483 , 2.49876826017

6n4b: 158088.73 , emd_0379: 530239.309483 , 2.35406141528
6n4b: 158088.73 , emd_3488: 399884.436375 , 1.52949363547
6n4b: 158088.73 , emd_0128: 761842.161838 , 3.81907952476
6n4b: 158088.73 , emd_0502: 471285.387039 , 1.98114474725
6n4b: 158088.73 , emd_6896: 641488.370393 , 3.05777420309
6n4b: 158088.73 , emd_0339: 510645.102933 , 2.23011705472
6n4b: 158088.73 , emd_9297: 608214.492985 , 2.84729824185

5z62: 251164.83 , emd_9297: 608214.492985 , 1.42157507875
5z62: 251164.83 , emd_0502: 471285.387039 , 0.876398805673
5z62: 251164.83 , emd_0452: 801490.283359 , 2.19109281088
5z62: 251164.83 , emd_0339: 510645.102933 , 1.03310751323
5z62: 251164.83 , emd_0128: 761842.161838 , 2.03323583098
5z62: 251164.83 , emd_0379: 530239.309483 , 1.11112085033
5z62: 251164.83 , emd_6896: 641488.370393 , 1.55405332981

6mzb: 280805.59 , emd_6896: 641488.370393 , 1.28445726594
6mzb: 280805.59 , emd_0339: 510645.102933 , 0.818500489726
6mzb: 280805.59 , emd_6830: 809052.555257 , 1.88118393675
6mzb: 280805.59 , emd_0379: 530239.309483 , 0.888279038474
6mzb: 280805.59 , emd_0452: 801490.283359 , 1.85425330514
6mzb: 280805.59 , emd_9297: 608214.492985 , 1.16596291044
6mzb: 280805.59 , emd_0128: 761842.161838 , 1.71305910198

6h25: 426099.31 , emd_0128: 761842.161838 , 0.787945072799
6h25: 426099.31 , emd_0379: 530239.309483 , 0.244403116925
6h25: 426099.31 , emd_7782: 926854.785561 , 1.17520837
6h25: 426099.31 , emd_9297: 608214.492985 , 0.427400792987
6h25: 426099.31 , emd_6830: 809052.555257 , 0.89874176341
6h25: 426099.31 , emd_6896: 641488.370393 , 0.50549028205
6h25: 426099.31 , emd_0452: 801490.283359 , 0.880994088816

6nmi: 480221.06 , emd_0452: 801490.283359 , 0.669002778343
6nmi: 480221.06 , emd_9297: 608214.492985 , 0.266530237106
6nmi: 480221.06 , emd_3699: 943589.637064 , 0.96490682242
6nmi: 480221.06 , emd_6896: 641488.370393 , 0.335818904721
6nmi: 480221.06 , emd_7782: 926854.785561 , 0.930058597516
6nmi: 480221.06 , emd_0128: 761842.161838 , 0.586440548521
6nmi: 480221.06 , emd_6830: 809052.555257 , 0.684750259094

5nv3: 670893.88 , emd_6830: 809052.555257 , 0.20593223366
5nv3: 670893.88 , emd_6896: 641488.370393 , 0.0438303440877
5nv3: 670893.88 , emd_2981: 1034137.84287 , 0.541432816277
5nv3: 670893.88 , emd_0128: 761842.161838 , 0.135562843169
5nv3: 670893.88 , emd_3699: 943589.637064 , 0.406466305914
5nv3: 670893.88 , emd_0452: 801490.283359 , 0.19466029912
5nv3: 670893.88 , emd_7782: 926854.785561 , 0.381522194779

5yi5: 676845.81 , emd_7782: 926854.785561 , 0.369373603068
5yi5: 676845.81 , emd_0128: 761842.161838 , 0.125577126403
5yi5: 676845.81 , emd_3957: 1050095.56729 , 0.551454632322
5yi5: 676845.81 , emd_0452: 801490.283359 , 0.184154901334
5yi5: 676845.81 , emd_2981: 1034137.84287 , 0.527878030111
5yi5: 676845.81 , emd_6830: 809052.555257 , 0.195327714679
5yi5: 676845.81 , emd_3699: 943589.637064 , 0.394098364979

5a0q: 737249.25 , emd_3699: 943589.637064 , 0.279878734449
5a0q: 737249.25 , emd_0452: 801490.283359 , 0.0871361121881
5a0q: 737249.25 , emd_9400: 1413853.80583 , 0.917741938475
5a0q: 737249.25 , emd_6830: 809052.555257 , 0.0973935277077
5a0q: 737249.25 , emd_3957: 1050095.56729 , 0.424342672837
5a0q: 737249.25 , emd_7782: 926854.785561 , 0.257179692704
5a0q: 737249.25 , emd_2981: 1034137.84287 , 0.402697721119

6d00: 743804.19 , emd_2981: 1034137.84287 , 0.390336135202
6d00: 743804.19 , emd_6830: 809052.555257 , 0.0877225029579
